Symbol,Type,Strike,Exp Date,MidPrice
CGON,Call,70.00,2026-08-21,8.0000
PCG,Call,23.00,2026-09-18,0.1750
FHN,Call,27.00,2026-11-20,1.2750
QXO,Call,22.00,2026-09-18,0.2250
FLEX,Call,140.00,2026-08-21,2.8000
PLTR,Call,141.00,2026-08-07,17.6250
APTV,Call,70.00,2027-01-15,1.1750
QUBT,Put,6.00,2026-09-18,0.1300
RIG,Put,6.00,2026-08-21,0.8800
HPE,Call,60.00,2026-08-14,0.6250
PGEN,Call,5.00,2026-10-16,2.1500
LRCX,Put,340.00,2026-09-18,51.9500
INTC,Put,105.00,2026-08-07,5.3750
PLTR,Call,136.00,2026-08-07,22.6750
CG,Call,50.00,2026-09-18,2.6500
SO,Call,95.00,2026-08-21,0.6500
AAL,Put,15.50,2026-08-21,0.2550
AVGO,Call,560.00,2026-08-21,0.1100
TWLO,Call,200.00,2026-08-07,9.7000
ITT,Put,180.00,2026-08-21,1.7000
XYZ,Put,74.00,2026-08-21,1.1400
RXT,Call,5.00,2026-08-07,0.1500
NVDA,Call,200.00,2026-08-10,18.9500
ZM,Call,105.00,2026-08-07,0.2700
HIG,Call,160.00,2026-12-18,2.8500
TSM,Call,475.00,2026-08-21,1.2950
BE,Call,250.00,2026-12-18,60.1250
IONQ,Put,35.00,2026-09-18,2.8400
MCHP,Call,75.00,2026-09-18,8.3500
SNAP,Call,4.50,2026-08-07,0.8300
NUAI,Call,5.00,2026-08-07,0.3500
GTES,Call,26.00,2026-08-21,3.7000
FLEX,Put,105.00,2026-08-21,2.0500
SNAP,Put,5.50,2026-08-21,0.3350
QBTS,Put,17.00,2026-10-16,1.3900
U,Call,35.00,2026-08-07,2.9750
VZ,Call,49.00,2026-09-04,0.5250
GME,Call,40.00,2027-01-15,0.3250
ESTC,Call,70.00,2026-08-21,3.5500
BSX,Call,52.00,2026-08-21,0.4000
RDW,Call,9.00,2026-08-07,1.7750
BHC,Call,7.00,2026-09-18,0.1500
BSX,Put,45.00,2026-08-14,0.3250
IREN,Put,33.00,2026-08-07,0.1400
PLTR,Call,130.00,2026-08-14,28.7250
JCI,Call,150.00,2026-08-21,7.2000
ORCL,Call,90.00,2027-03-19,62.6000
TSM,Call,425.00,2026-08-21,10.7000
FLEX,Put,110.00,2026-08-21,3.3500
PLTR,Call,138.00,2026-08-07,20.6750
AHCO,Put,10.00,2026-09-18,3.0000
DKNG,Call,23.00,2026-08-07,0.5550
PLTR,Call,133.00,2026-08-07,25.4250
PLTR,Call,140.00,2026-08-07,18.5000
RILY,Call,7.00,2026-08-07,0.4950
PLTR,Call,140.00,2026-08-14,18.9250
CVX,Put,185.00,2026-08-07,1.1000
INTC,Put,89.00,2026-08-07,0.1550
NOK,Call,10.00,2026-08-14,0.2550
TSM,Call,440.00,2026-09-18,15.9500
PSKY,Put,11.00,2027-01-15,2.9600
SPCX,Call,90.00,2026-08-07,18.8500
FWRG,Call,12.50,2026-08-21,0.7250
RKLB,Call,70.00,2026-08-07,5.4000
RIOT,Call,22.50,2026-08-07,0.5200
NOW,Call,115.00,2027-01-15,20.6250
ORCL,Call,160.00,2026-08-07,0.1500
GPK,Call,17.50,2027-01-15,0.2250
U,Put,30.00,2026-08-07,0.6650
QXO,Put,12.00,2026-08-21,0.1000
TPG,Call,45.00,2026-08-21,3.2000
INTC,Call,100.00,2026-08-07,3.4750
QNT,Call,80.00,2026-08-21,0.7500
BAC,Call,58.00,2026-08-07,5.3000
FPS,Call,40.00,2026-08-21,2.3500
DOCN,Call,145.00,2026-08-07,0.4500
GPK,Call,12.50,2027-01-15,1.3000
AXTI,Call,55.00,2026-12-18,29.4500
AAPL,Call,360.00,2026-09-04,0.3900
MRVL,Call,210.00,2026-08-07,7.6000
SAIC,Put,115.00,2026-09-18,5.1000
BTDR,Put,5.00,2026-09-18,0.2000
U,Call,34.00,2026-08-07,3.3750
CRWD,Call,185.00,2026-08-21,27.6750
ASTS,Call,60.00,2026-08-07,8.8250
META,Call,"1,000.00",2027-03-19,8.7250
RKLB,Call,125.00,2026-12-18,5.9500
NVDA,Put,188.00,2026-12-18,8.6250
APLD,Call,31.00,2026-08-21,2.0000
UEC,Call,10.50,2026-08-21,0.8350
JPM,Call,355.00,2026-08-21,9.0500
RKLB,Call,65.00,2026-08-21,12.5000
BHC,Put,7.00,2026-08-14,0.5500
NUAI,Call,6.00,2026-08-28,0.7250
FPS,Put,35.00,2026-08-21,1.3250
PLTR,Call,135.00,2026-08-14,24.0000
PLTR,Call,150.00,2026-08-14,10.5000
MS,Call,220.00,2026-10-16,12.8250
ORCL,Call,140.00,2026-08-28,11.5000
PINS,Put,21.00,2026-09-18,0.5450
GOOG,Call,375.00,2026-08-07,0.5800
RUN,Call,12.00,2026-08-21,0.5500
AMD,Put,360.00,2026-09-18,5.0500
PLTR,Call,132.00,2026-08-07,26.4250
ANET,Call,190.00,2026-08-07,9.9750
BE,Call,215.00,2026-08-07,22.6500
BA,Put,195.00,2026-08-21,0.2450
PLTR,Call,126.00,2026-08-07,32.6250
CSCO,Call,175.00,2027-01-15,1.9350
ORIC,Call,10.00,2026-11-20,5.3500
CVNA,Put,58.00,2026-08-21,0.3900
SKM,Call,30.00,2026-08-21,5.6000
PLTR,Call,120.00,2026-08-07,38.4500
PLTR,Call,130.00,2026-08-07,28.4000
ORCL,Call,138.00,2026-08-07,7.4750
ORCL,Call,190.00,2026-08-28,0.7600
TSM,Call,400.00,2026-09-18,33.3500
BTDR,Call,11.00,2026-08-07,0.5750
TDC,Call,37.50,2026-10-16,0.1750
MSTR,Call,150.00,2028-12-15,41.7500
TEAM,Call,120.00,2026-08-21,7.2500
GOOGL,Call,362.50,2026-08-07,4.7000
AME,Put,230.00,2026-08-21,0.6000
SNAP,Call,5.00,2026-08-07,0.3500
WHD,Call,70.00,2026-08-21,0.6500
AVGO,Call,410.00,2026-09-18,36.5500
W,Put,87.50,2026-09-18,1.8900
NBIS,Put,160.00,2026-09-18,11.7750
AME,Call,240.00,2026-08-21,17.1000
GFI,Put,35.00,2026-08-21,0.6000
INTC,Call,175.00,2026-08-21,0.0350
VST,Call,195.00,2026-09-18,0.8950
NKE,Call,42.00,2026-08-21,1.5350
BA,Put,205.00,2026-09-18,1.0650
KEY,Put,23.00,2026-08-21,0.4500
SNAP,Call,5.00,2026-08-14,0.4200
PLTR,Call,137.00,2026-08-07,21.5250
PLTR,Call,145.00,2026-08-07,13.6500
U,Call,35.00,2026-08-21,3.4250
FCX,Call,67.00,2026-08-07,2.8500
FSLY,Call,22.00,2026-08-21,5.1000
AXTI,Put,67.00,2026-08-14,6.1000
AAPL,Call,302.50,2026-08-10,9.4750
TEAM,Call,105.00,2026-08-21,14.0500
ASTS,Call,110.00,2026-10-16,3.9750
HL,Call,14.50,2026-08-07,2.0800
CLF,Put,11.50,2026-08-14,0.1350
UCTT,Call,90.00,2026-08-21,4.3500
NVDA,Call,195.00,2026-08-07,24.3500
AMZN,Put,272.50,2026-08-07,3.0750
MSFT,Call,455.00,2026-08-21,35.7000
MRVL,Put,210.00,2026-09-18,26.0250
PLTR,Call,135.00,2026-08-07,23.5750
ORCL,Call,155.00,2026-09-18,10.8500
TOST,Put,15.00,2027-01-15,0.1700
BE,Call,235.00,2026-08-07,10.1500
UMAC,Call,25.00,2026-08-21,3.7500
AFRM,Call,90.00,2026-08-14,0.2550
NVDA,Put,207.50,2026-08-14,1.3750
AMD,Call,495.00,2026-08-07,7.3000
SPCX,Put,75.00,2026-08-21,0.4800
PLTR,Call,128.00,2026-08-07,30.4250
CLW,Call,20.00,2026-10-16,4.0000
PLTR,Call,142.00,2026-08-07,16.6000
LBRT,Call,19.00,2026-08-21,1.3250
AAPL,Call,300.00,2026-08-14,12.5000
XOM,Put,145.00,2026-08-21,1.4900
ZM,Put,80.00,2026-09-18,0.8450
ORCL,Call,144.00,2026-08-07,3.2500
ORCL,Put,90.00,2026-10-16,1.2850
S,Call,20.00,2026-08-14,1.3500
KKR,Call,105.00,2026-12-18,11.5000
RGTI,Call,14.00,2026-08-07,2.7050
HPE,Call,50.00,2026-08-21,5.0750
CCJ,Put,70.00,2026-09-18,0.2500
TSLA,Call,460.00,2026-10-16,2.3500
PLTR,Put,100.00,2028-12-15,17.6000
MSFT,Call,420.00,2027-12-17,123.4750
CRWV,Call,100.00,2027-06-17,27.2250
PCG,Call,24.00,2026-09-18,0.1500
PINS,Call,24.00,2026-08-07,0.2650
TSM,Put,420.00,2026-12-18,46.3750
BAC,Call,62.00,2026-08-14,1.6600
SOFI,Call,18.50,2026-08-14,0.4650
NET,Put,220.00,2026-08-07,0.1950
GME,Call,26.00,2026-09-18,0.1750
ON,Put,80.00,2026-08-07,3.5750
AVGO,Call,410.00,2026-08-07,11.6000
AAPL,Call,305.00,2026-08-14,8.9000
ZETA,Call,25.00,2026-12-18,5.8750
IBM,Put,230.00,2028-12-15,54.5250
PLTR,Call,150.00,2026-08-21,11.7750
RVLV,Put,25.00,2026-08-21,0.9250
QXO,Call,16.00,2026-08-21,0.9750
GAIN,Call,17.50,2026-08-21,0.2250
AAOI,Call,150.00,2026-08-07,4.2000
WULF,Call,31.00,2027-01-15,1.7250
NVDA,Call,190.00,2026-08-14,29.5750
ARM,Put,205.00,2026-08-21,1.3150
GOOGL,Call,325.00,2026-12-18,56.6000
ORCL,Call,150.00,2026-08-07,1.1250
MXL,Call,95.00,2026-08-21,0.7000
MCD,Call,280.00,2026-08-07,0.6250
ORCL,Call,140.00,2026-08-21,9.8000
PLTR,Call,134.00,2026-08-07,24.4250
INTC,Call,125.00,2026-08-21,1.2350
PDD,Put,86.00,2026-08-07,0.1200
NVDA,Call,240.00,2026-08-14,0.4950
BRK.B,Call,515.00,2026-09-18,14.6500
CCL,Call,27.00,2026-09-18,3.4250
NVTS,Call,11.00,2026-08-21,1.9750
OKLO,Put,40.00,2026-12-18,7.4250
MSFT,Call,410.00,2027-12-17,130.0000
HPE,Call,54.00,2026-08-07,1.0050
MSTR,Put,100.00,2026-08-07,3.3000
WHR,Call,40.00,2026-08-21,5.9500
BULL,Call,7.50,2026-08-14,0.2350
WULF,Call,15.00,2026-09-18,4.1750
AMD,Call,"1,120.00",2026-10-16,0.5550
NRG,Call,140.00,2026-08-21,0.6000
AEVA,Call,20.00,2026-08-21,2.0000
NOK,Call,9.50,2026-08-07,0.2650
INTC,Call,100.00,2026-08-14,5.9250
WHR,Call,42.50,2026-08-21,3.9500
USAR,Call,20.00,2026-12-18,3.3250
UAL,Call,130.00,2026-08-21,6.6000
XPEV,Call,42.00,2028-01-21,0.6650
MRVL,Call,330.00,2026-09-18,4.0250
PLTR,Put,150.00,2027-01-15,16.7500
LUMN,Call,5.00,2028-01-21,2.7000
RBLX,Put,45.00,2026-08-21,9.0500
NOW,Call,125.00,2027-01-15,16.3500
PLTR,Call,127.00,2026-08-07,31.7000
NXT,Call,135.00,2026-08-21,0.4250
ET,Call,20.00,2026-08-07,0.3200
MRVL,Call,320.00,2026-08-21,0.5800
PLTR,Call,143.00,2026-08-07,15.7500
BHC,Call,6.00,2026-08-21,0.5000
QBTS,Call,17.00,2026-08-07,4.2000
GIS,Call,37.50,2026-10-16,1.6250
PLTR,Call,127.00,2026-08-21,31.8500
APLD,Call,30.00,2026-08-21,2.5550
BA,Put,210.00,2026-09-18,1.5750
SOFI,Put,16.50,2026-08-28,0.2700
ORCL,Call,140.00,2026-08-07,5.7000
RIVN,Call,22.00,2027-09-17,2.9000
USAR,Call,16.00,2026-08-07,1.4100
NRG,Call,155.00,2026-08-21,0.2500
OKLO,Put,35.00,2026-08-21,0.7600
BRK.B,Put,510.00,2028-01-21,30.0000
FCX,Call,85.00,2026-08-21,0.1150
TSM,Put,360.00,2026-08-21,1.2850
IBM,Call,240.00,2026-08-07,1.5450
PLTR,Call,125.00,2026-08-21,33.9000
VIK,Call,100.00,2026-08-21,10.1000
BKNG,Call,200.00,2026-09-18,13.4000
DDD,Call,3.00,2026-08-21,0.7750
ORCL,Put,130.00,2026-08-21,2.1050
ACHR,Call,5.00,2026-10-16,0.9000
SPCX,Call,165.00,2026-10-16,3.5250
MCD,Put,262.50,2026-08-07,0.1200
GRPN,Call,20.00,2027-01-15,10.4500
CGON,Call,95.00,2027-01-15,6.9500
PLTR,Put,149.00,2026-08-07,0.3600
EYPT,Put,5.00,2026-09-18,1.1500
LKQ,Call,32.50,2026-11-20,0.5250
UMAC,Put,24.00,2026-08-14,1.7750
U,Put,21.00,2027-02-19,1.2000
NVO,Call,45.50,2026-08-14,0.5700
NVCT,Call,30.00,2026-09-18,0.1750
PDD,Put,91.00,2026-08-21,2.4250
TOST,Call,38.50,2026-08-14,0.1500
ITT,Put,185.00,2026-09-18,5.2000
PLTR,Put,148.00,2026-08-07,0.2800
AEHR,Put,100.00,2026-08-14,9.0500
MBGL,Call,22.50,2026-11-20,1.7500
PLTR,Put,155.00,2026-09-04,7.0500
SN,Call,195.00,2026-08-21,2.3250
NRG,Call,125.00,2026-08-07,1.0250
PLTR,Put,170.00,2026-08-07,11.8250
PLTR,Put,145.00,2026-09-11,4.0750
PLTR,Put,143.00,2026-08-14,0.7600
PLTR,Put,148.00,2026-08-14,1.4350
PLTR,Put,147.00,2026-08-07,0.2150
GNRC,Put,180.00,2026-08-28,1.5750
SKHY,Put,124.00,2026-08-14,1.8500
GLW,Call,140.00,2026-09-11,25.0250
SHAK,Call,69.00,2026-08-21,6.7500
VEEV,Call,270.00,2027-06-17,23.4500
AMD,Put,515.00,2026-08-10,38.0500
CPNG,Put,17.50,2026-08-07,1.2450
SKHY,Call,155.00,2026-11-20,32.7000
BW,Call,15.00,2026-09-18,0.3750
WMB,Call,77.00,2026-08-28,0.4750
WSC,Call,27.50,2026-09-18,2.0750
CG,Call,52.50,2026-09-18,1.7000
BSX,Put,46.00,2026-08-14,0.5500
SKHY,Call,250.00,2026-11-20,11.3000
ALAB,Call,407.50,2026-08-07,1.9000
NEE,Call,86.00,2026-08-28,1.9250
NB,Call,5.50,2026-08-07,0.1000
BIDU,Put,111.00,2026-08-21,4.8250
WFC,Call,88.00,2026-09-04,2.8850
ELAN,Put,20.00,2026-08-21,0.1000
IE,Call,10.00,2026-10-16,1.9500
DJT,Call,17.00,2026-10-16,0.3900
SPCX,Call,230.00,2027-03-19,4.9000
NVO,Call,44.00,2026-08-14,1.1650
FBIN,Put,50.00,2026-08-21,1.0000
NN,Call,15.00,2026-08-14,2.1500
PLTR,Put,160.00,2026-08-07,3.7750
SKHY,Call,315.00,2026-10-16,2.8000
IREN,Put,39.50,2026-08-14,3.1250
PDD,Put,90.00,2026-08-28,3.2000
PDD,Put,90.00,2026-09-04,3.7500
TNDM,Put,19.00,2026-08-21,1.7250
WMT,Put,98.00,2026-09-04,0.4900
ROK,Put,390.00,2026-09-18,2.7500
PLTR,Put,152.50,2026-08-07,0.8450
MARA,Call,10.00,2026-09-04,1.9850
ELAN,Put,23.00,2026-08-21,0.2750
PLTR,Put,143.00,2026-08-07,0.1000
RBLX,Put,32.00,2026-08-21,0.5500
FHN,Call,28.00,2026-11-20,0.8750
SKHY,Call,160.00,2026-11-20,30.9000
NVO,Put,37.50,2026-09-18,0.2250
MRVL,Call,257.50,2026-08-07,0.1200
FCX,Put,66.00,2026-08-07,0.2300
DELL,Call,600.00,2026-08-14,0.6200
ZETA,Call,26.50,2026-08-21,2.0150
AMZN,Call,335.00,2026-09-18,0.5750
PLTR,Put,155.00,2026-08-14,3.5500
CORZ,Call,23.50,2026-08-14,0.6550
NVDA,Put,212.50,2026-08-14,2.5300
MSFT,Put,495.00,2026-08-14,13.3250
SGI,Call,70.00,2026-09-18,5.5500
SHOP,Call,131.00,2026-08-21,15.2500
OLED,Call,90.00,2026-09-18,4.1500
EIX,Call,70.00,2026-09-18,4.1000
PACS,Call,35.00,2026-08-21,11.3500
CAKE,Put,105.00,2026-08-21,3.2250
SU,Put,63.00,2026-08-07,0.6000
HST,Put,24.00,2026-09-18,0.5500
BHP,Call,95.00,2026-11-20,4.9000
AAL,Put,17.50,2026-08-07,0.9000
TOST,Call,35.50,2026-08-07,0.3250
PCG,Call,24.00,2026-12-18,0.2950
IIIN,Call,35.00,2026-08-21,0.2500
FLY,Call,25.00,2026-08-07,0.2500
DEI,Call,12.00,2026-08-21,0.2250
MRCY,Call,140.00,2026-08-21,2.3750
AUR,Call,9.00,2027-02-19,0.8000
SHOP,Call,138.00,2026-08-21,10.3750
MRVL,Call,265.00,2026-08-21,2.8650
AMPG,Call,6.00,2026-08-07,0.1750
U,Put,32.00,2026-08-14,1.4900
CC,Call,17.50,2026-08-21,0.1500
CLF,Put,13.00,2026-08-14,0.7200
SHOP,Call,134.00,2026-08-21,13.0250
NOW,Put,95.00,2027-02-19,9.1500
PLTR,Put,150.00,2026-08-07,0.4550
MRVL,Call,212.50,2026-08-21,15.5000
SYM,Put,47.50,2026-08-21,4.3500
MU,Put,505.00,2026-08-14,0.1300
RTX,Call,232.50,2026-08-07,0.1550
PLTR,Put,145.00,2026-08-07,0.1350
BWA,Call,80.00,2026-08-21,0.1750
FLUT,Call,115.00,2026-08-21,0.1500
CRM,Put,190.00,2026-08-28,8.7500
PCG,Call,25.00,2026-12-18,0.2400
CSCO,Put,121.00,2026-08-07,1.2200
ALAB,Call,395.00,2026-08-07,1.5900
ELAN,Call,25.00,2026-08-21,1.9500
SHAK,Call,81.00,2026-08-07,0.2000
GPN,Call,105.00,2026-08-21,0.2250
NRG,Call,155.00,2027-01-15,6.8500
SKHY,Call,200.00,2026-11-20,19.1500
U,Call,36.50,2026-08-07,2.2550
PTRN,Put,22.50,2026-08-21,1.2750
MP,Call,60.00,2026-09-04,1.1800
MRVL,Put,202.50,2026-08-07,3.6750
HPE,Put,42.00,2026-08-28,0.4400
ZETA,Call,27.00,2026-08-07,0.8500
EIX,Call,75.00,2026-09-18,1.6250
INTC,Put,97.00,2026-08-07,1.2350
RIOT,Put,15.50,2026-08-21,0.1800
ON,Call,100.00,2026-08-14,0.1150
PLTR,Call,210.00,2027-02-19,12.0250
MSFT,Call,500.00,2026-08-17,6.1000
ELF,Call,105.00,2026-10-16,5.6000
PLTR,Put,145.00,2026-08-14,0.9550
APP,Call,530.00,2026-08-14,2.8750
RVLV,Call,25.00,2026-09-18,1.8750
INFY,Call,15.00,2026-10-16,0.3000
SPCX,Call,124.00,2026-08-28,5.2250
PLTR,Put,155.00,2026-08-07,1.4850
ELAN,Put,25.00,2026-08-21,0.5000
INTC,Call,108.00,2026-08-07,0.7800
DVA,Call,250.00,2026-10-16,1.1250
CMG,Call,39.00,2026-08-21,0.1400
STX,Call,900.00,2026-10-16,113.2500
KLIC,Put,85.00,2026-08-21,3.3750
NVO,Call,45.00,2026-08-07,0.3400
NVO,Call,46.00,2026-08-21,0.5600
CHWY,Put,23.00,2026-08-14,0.3900
XYZ,Put,78.00,2026-08-07,1.8350
PLTR,Put,155.00,2027-02-19,21.9000
