Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",227.98,18.32,+8.74%,6.12%,5%,7400261,31.2%,68.8%,0.45311379521872
TSLA,"Tesla Inc",354.81,8.99,+2.60%,7.39%,3%,1654028,36.1%,63.9%,0.56410154572981
AAPL,"Apple Inc",314.58,1.13,+0.36%,46.75%,41%,875073,33.5%,66.5%,0.50474341536223
MSTR,"Strategy Inc",137.4,14.21,+11.54%,34.32%,61%,840181,31.3%,68.7%,0.45653104776566
MU,"Micron Technology",935.39,-3.01,-0.32%,23.29%,17%,751920,32.7%,67.3%,0.48542371675961
SPCX,"SpaceX Corp",140.87,1.24,+0.89%,0.00%,0%,743296,35.9%,64.1%,0.56020562164023
PLTR,"Palantir Technologies Cl A",185.93,8.43,+4.75%,18.70%,14%,740409,35.2%,64.8%,0.54282088575679
AMZN,"Amazon.com Inc",256.26,-4.02,-1.54%,20.42%,16%,668646,35.7%,64.3%,0.55604012008098
INTC,"Intel Corp",92.09,3.85,+4.36%,28.07%,29%,660449,32.1%,67.9%,0.47230711956146
PCG,"Pacific Gas & Electric Company",17.95,-0.27,-1.48%,61.91%,90%,633065,3.7%,96.3%,0.03799184776371
MSFT,"Microsoft Corp",505.06,8.69,+1.75%,26.43%,25%,558669,33.8%,66.2%,0.51162394272448
CRM,"Salesforce Inc",252.05,46.43,+22.58%,46.29%,35%,557546,37.3%,62.7%,0.59524013893896
META,"META Platforms",571.1,-5.04,-0.87%,35.06%,48%,535580,30.7%,69.3%,0.44288458378122
IREN,"Iren Limited",40.53,0.95,+2.40%,16.47%,6%,458199,31.1%,68.9%,0.45131955706467
MRVL,"Marvell Technology Inc",241.45,-3.66,-1.49%,50.07%,62%,439743,37.3%,62.7%,0.59487239004363
GOOGL,"Alphabet Cl A",340.65,-1.35,-0.39%,9.51%,5%,361689,21.0%,79.0%,0.26585516944496
SOFI,"Sofi Technologies Inc",19.18,0.34,+1.80%,11.57%,7%,355526,23.5%,76.5%,0.30636046297997
AMD,"Adv Micro Devices",476.67,-4.26,-0.89%,24.56%,21%,333259,43.3%,56.7%,0.76338709336042
CRWD,"Crowdstrike Holdings",227.96,38.78,+20.50%,52.49%,65%,324942,38.7%,61.3%,0.63185753600771
MARA,"Mara Holdings Inc",11.87,0.65,+5.79%,37.97%,37%,290940,21.5%,78.5%,0.27439814977047
NFLX,"Netflix Inc",79.84,-1.62,-1.99%,26.63%,31%,282544,40.9%,59.1%,0.69247818091422
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",18.25,0.49,+2.76%,9.26%,45%,273645,8.0%,92.0%,0.086971201588878
AVGO,"Broadcom Ltd",371.54,15.95,+4.49%,51.15%,65%,269169,31.9%,68.1%,0.4690626279165
BMNR,"Bitmine Immersion Technologies",25.63,0.72,+2.89%,18.30%,21%,256847,27.2%,72.8%,0.37410121977317
SMCI,"Super Micro Computer",38.46,1.07,+2.86%,32.97%,28%,236300,36.5%,63.5%,0.57566947615491
ORCL,"Oracle Corp",151.94,3.07,+2.06%,64.03%,78%,233075,30.1%,69.9%,0.43054865062267
NOW,"Servicenow Inc",138.43,12.63,+10.04%,48.65%,57%,232569,37.0%,63.0%,0.58845586427342
WMT,"Walmart Inc",102.63,-1.71,-1.64%,19.06%,23%,230319,40.5%,59.5%,0.67965257469571
