Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",362.86,17.73,+5.14%,14.12%,7%,4773554,36.8%,63.2%,0.58343690986669
NVDA,"Nvidia Corp",214.72,-2.13,-0.98%,36.96%,57%,3100562,37.6%,62.4%,0.60215311017147
AAPL,"Apple Inc",309.35,-1.95,-0.63%,48.77%,46%,1535268,39.8%,60.2%,0.66071509699696
SPCX,"SpaceX Corp",136.97,2.97,+2.22%,0.00%,0%,1151418,39.4%,60.6%,0.65131591213198
MSTR,"Strategy Inc",119.25,6.86,+6.10%,39.90%,76%,1135543,25.1%,74.9%,0.33425178392872
PLTR,"Palantir Technologies Cl A",179.94,5.98,+3.44%,19.52%,14%,1029079,34.9%,65.1%,0.53565230367469
MU,"Micron Technology",966.78,-7.55,-0.77%,28.52%,25%,945146,44.3%,55.7%,0.79382034200687
AMZN,"Amazon.com Inc",258.63,-1.48,-0.57%,22.99%,23%,872572,31.8%,68.2%,0.46590641820833
HOOD,"Robinhood Markets Cl A",108.13,13.03,+13.70%,39.05%,43%,793409,27.1%,72.9%,0.37193225145466
MRNA,"Moderna Inc",145.13,11.81,+8.86%,48.66%,97%,718594,47.3%,52.7%,0.89725284154665
SOFI,"Sofi Technologies Inc",18.91,0.99,+5.52%,11.69%,6%,701498,25.1%,74.9%,0.3342602490119
INTC,"Intel Corp",90.07,-2.06,-2.24%,31.31%,36%,673677,38.2%,61.8%,0.61772036999683
BABA,"Alibaba Group Holding ADR",119.34,-11.19,-8.57%,36.57%,26%,627254,19.8%,80.2%,0.24676806385956
META,"META Platforms",549.9,4.07,+0.75%,35.97%,51%,619552,30.2%,69.8%,0.43172879162526
MARA,"Mara Holdings Inc",11.26,0.11,+0.99%,46.01%,57%,576426,18.5%,81.5%,0.2268872864112
COIN,"Coinbase Global Cl A",186.49,14.14,+8.20%,45.61%,58%,476973,35.3%,64.7%,0.5465298380429
AMD,"Adv Micro Devices",473.25,3.8,+0.81%,27.38%,24%,452521,50.0%,50.0%,0.99882946910903
GOOGL,"Alphabet Cl A",344.82,4.15,+1.22%,17.97%,11%,431421,36.1%,63.9%,0.56408862012334
MSFT,"Microsoft Corp",483.24,2.09,+0.43%,28.82%,29%,421562,34.7%,65.3%,0.53047613861206
WMT,"Walmart Inc",103.7,-0.14,-0.13%,23.58%,27%,401095,36.5%,63.5%,0.57357568244054
BMNR,"Bitmine Immersion Technologies",22.83,1.26,+5.84%,16.48%,17%,353177,17.7%,82.3%,0.21549199313058
IREN,"Iren Limited",41.88,-0.72,-1.69%,28.64%,24%,331296,29.2%,70.8%,0.41165041097291
ORCL,"Oracle Corp",146.47,4.4,+3.10%,65.00%,81%,328534,33.3%,66.7%,0.49883436058633
SMCI,"Super Micro Computer",37.24,0.74,+2.03%,42.41%,44%,307604,20.0%,80.0%,0.24985372513327
NFLX,"Netflix Inc",79.59,-0.55,-0.69%,26.26%,32%,297831,34.3%,65.7%,0.52141663984798
AVGO,"Broadcom Ltd",368.45,4.42,+1.21%,53.40%,70%,285966,33.8%,66.2%,0.51031466869474
MRVL,"Marvell Technology Inc",237.04,-13.97,-5.57%,53.99%,67%,280891,35.2%,64.8%,0.54263668067112
CIFR,"Cipher Digital Inc",15.77,-1.44,-8.40%,17.83%,33%,277461,23.0%,77.0%,0.29825144231444
CRCL,"Circle Internet Group Cl A",87.98,4.32,+5.16%,42.88%,39%,230327,27.7%,72.3%,0.38283871974832
RIVN,"Rivian Automotive Cl A",16.97,0.96,+6.00%,27.72%,12%,226974,18.5%,81.5%,0.22676712536078
NBIS,"Nebius Group N.V. Cl A",219.13,-0.98,-0.45%,24.85%,37%,224402,42.9%,57.1%,0.75014623417746
WULF,"Terawulf Inc",15.64,-0.81,-4.92%,21.03%,20%,223662,22.8%,77.2%,0.29522474838142
SNDK,"Sandisk Corp",1596.08,-4.54,-0.28%,26.99%,8%,223058,44.0%,56.0%,0.78450682816388
PFE,"Pfizer Inc",28.07,0.28,+1.01%,27.25%,26%,216223,44.7%,55.3%,0.80800555221085
CG,"The Carlyle Group",49.37,1.38,+2.88%,29.09%,32%,215761,52.6%,47.4%,1.1104416295789
BULL,"Webull Corp Cl A",8.78,-0.07,-0.79%,0.00%,0%,191352,12.9%,87.1%,0.14794440011758
CRWV,"Coreweave Cl A",87.85,-1.91,-2.13%,14.92%,7%,183173,40.4%,59.6%,0.67826907571648
GOOG,"Alphabet Cl C",341.75,3.55,+1.05%,17.88%,12%,171246,26.7%,73.3%,0.36473832274723
FCX,"Freeport-Mcmoran Inc",76.66,5.44,+7.64%,68.83%,71%,166737,26.8%,73.2%,0.36643911393754
ASST,"Strive Inc",18.22,2.09,+12.96%,6.99%,28%,153952,6.7%,93.3%,0.072126466798983
ONDS,"Ondas Inc",8.71,0.33,+3.94%,0.81%,1%,152670,29.8%,70.2%,0.42378856268885
HIMS,"Hims & Hers Health Inc",33.78,1.92,+6.03%,24.27%,25%,149687,26.6%,73.4%,0.36228942746112
NOW,"Servicenow Inc",128.48,-1.27,-0.98%,48.79%,58%,148400,39.4%,60.6%,0.64960371716633
ASTS,"Ast Spacemobile Inc",68.65,3.59,+5.52%,8.29%,6%,138826,29.2%,70.8%,0.41259908218607
AI,"C3.Ai Inc Cl A",10.3,-0.01,-0.10%,60.34%,80%,138576,1.9%,98.1%,0.019091042800412
NOK,"Nokia Corp ADR",10.21,0.06,+0.59%,44.95%,62%,137559,34.3%,65.7%,0.52291698957111
TEM,"Tempus AI Cl A",72.69,6.04,+9.06%,55.87%,78%,135553,23.1%,76.9%,0.30101737210865
AMC,"AMC Entertainment Holdings",2.55,0.08,+3.24%,29.75%,33%,135465,13.6%,86.4%,0.15674286348615
RIOT,"Riot Platforms Inc",19.83,-1.15,-5.48%,43.79%,62%,134869,25.0%,75.0%,0.33292153820306
TMC,"Tmc The Metals Company",4.79,0.82,+20.65%,25.24%,25%,134182,4.3%,95.7%,0.044502393648075
BAC,"Bank of America Corp",61.69,-0.17,-0.27%,12.40%,10%,129465,50.5%,49.5%,1.0206174303908
PCG,"Pacific Gas & Electric Company",17.6,-0.36,-2.00%,88.90%,96%,125753,13.4%,86.6%,0.15479907434617
GME,"Gamestop Corp",18.21,0.17,+0.94%,42.53%,49%,124262,13.1%,86.9%,0.15112832104347
SLS,"Sellas Life Sciences Group Inc",15.46,2.06,+15.37%,49.82%,74%,122972,22.6%,77.4%,0.29225207805719
CLSK,"Cleanspark Inc",11.98,-0.62,-4.92%,29.75%,14%,116157,20.6%,79.4%,0.25942751816112
RGTI,"Rigetti Computing Inc",17.91,1.84,+11.48%,9.73%,6%,114316,28.7%,71.3%,0.40166999767034
BE,"Bloom Energy Corp Cl A",201.45,-1.03,-0.51%,4.99%,2%,112612,37.6%,62.4%,0.60260716115444
UBER,"UBER Technologies",78.8,0.25,+0.32%,30.26%,25%,111708,25.9%,74.1%,0.35040255312976
F,"Ford Motor Company",14.41,0.42,+3.00%,35.60%,42%,103954,28.0%,72.0%,0.38933215722438
TSM,"Taiwan Semiconductor ADR",418.95,2.95,+0.71%,19.54%,14%,102019,51.1%,48.9%,1.0429950336431
WOLF,"Wolfspeed Inc",25.76,-0.59,-2.24%,8.41%,27%,101738,83.5%,16.5%,5.047913446677
SKHY,"SK hynix Inc",163.41,0.33,+0.20%,0.00%,0%,100677,47.5%,52.5%,0.90438088752695
PURR,"Hyperliquid Strategies Inc",10.58,0.5,+4.96%,12.17%,58%,99560,23.7%,76.3%,0.31013790925361
NKE,"Nike Inc",40.76,0.55,+1.37%,31.91%,33%,99489,28.4%,71.6%,0.39606252806466
NIO,"Nio Inc ADR",4.63,0.1,+2.21%,27.22%,39%,99423,15.2%,84.8%,0.17883566516481
CLF,"Cleveland-Cliffs Inc",11.27,0.53,+4.93%,36.49%,39%,97995,33.2%,66.8%,0.49711256416524
RKLB,"Rocket Lab Corp",72.57,-0.38,-0.52%,3.22%,1%,97495,38.4%,61.6%,0.62399640203884
IONQ,"Ionq Inc",44.86,3.33,+8.02%,17.86%,10%,94229,42.9%,57.1%,0.75267377192493
CVNA,"Carvana Company Cl A",69.91,-1.61,-2.25%,19.93%,25%,91910,52.0%,48.0%,1.0854510800508
PYPL,"Paypal Holdings",61.55,-0.75,-1.20%,15.49%,22%,90682,17.5%,82.5%,0.21172681962131
SBET,"Sharplink Inc",7.91,0.32,+4.22%,30.84%,15%,89238,2.8%,97.2%,0.028573404488295
CORZ,"Core Scientific Inc",17.81,-0.58,-3.15%,18.57%,21%,83171,27.0%,73.0%,0.37058154672643
CRWD,"Crowdstrike Holdings",191.95,1.61,+0.85%,73.69%,92%,81961,43.3%,56.7%,0.76252634295299
OPEN,"Opendoor Technologies Inc",3.53,0.06,+1.73%,5.98%,5%,81858,21.1%,78.9%,0.26717131844146
APLD,"Applied Digital Corp",27.21,-1.44,-5.03%,14.14%,6%,81314,27.1%,72.9%,0.37139291316007
MRK,"Merck & Company",152.55,3.56,+2.39%,53.94%,49%,79390,20.5%,79.5%,0.25744424733908
SMR,"Nuscale Power Corp",9.4,0.33,+3.64%,9.39%,6%,76823,31.3%,68.7%,0.45542209760533
HTZ,"Hertz Global Holdings Inc",2.25,0.16,+7.66%,38.92%,72%,76726,24.1%,75.9%,0.31827084979898
T,"AT&T Inc",25.29,0.14,+0.56%,32.03%,42%,75048,16.4%,83.6%,0.19554585570229
KEEL,"Keel Infrastructure Corp",3.32,-0.05,-1.48%,36.46%,18%,74439,12.4%,87.6%,0.14189510500238
AAL,"American Airlines Gp",13.82,0.3,+2.22%,19.76%,14%,73769,50.3%,49.7%,1.013346069869
SIRI,"Siriusxm Holdings Inc",28.69,0.3,+1.06%,8.13%,3%,72667,0.9%,99.1%,0.0088575434894279
WBD,"Discovery Inc Series A",28.55,0.32,+1.13%,11.42%,28%,72548,42.5%,57.5%,0.73880114085756
QCOM,"Qualcomm Inc",160.75,0.01,+0.01%,27.36%,60%,72345,25.7%,74.3%,0.34622899570145
NU,"NU Holdings Ltd Cl A",14.58,0.37,+2.60%,28.17%,28%,69685,28.6%,71.4%,0.40109779636481
BA,"Boeing Company",214.2,-0.9,-0.42%,36.40%,25%,69677,36.4%,63.6%,0.5712481677754
DELL,"Dell Technologies",442.08,7.3,+1.68%,78.17%,86%,69059,51.4%,48.6%,1.0568577810871
SOUN,"Soundhound AI Inc Cl A",7.32,0.35,+5.02%,10.98%,5%,68744,25.5%,74.5%,0.34207957518254
CMG,"Chipotle Mexican Grill",36.9,1.61,+4.56%,26.08%,30%,67579,21.4%,78.6%,0.2728659685075
XOM,"Exxonmobil Holdings Corp",165.11,-1.04,-0.63%,55.24%,52%,67550,27.8%,72.2%,0.38569787478461
PDD,"Pdd Holdings Inc",88.38,-1.14,-1.27%,74.41%,86%,67414,37.3%,62.7%,0.59439004777447
CRM,"Salesforce Inc",209.17,3.74,+1.82%,67.93%,81%,66378,43.1%,56.9%,0.75896335161778
CCJ,"Cameco Corp",102.51,6.92,+7.24%,31.13%,22%,64502,56.4%,43.6%,1.2921819474058
RDDT,"Reddit Cl A",153.29,2.98,+1.98%,4.70%,3%,64073,30.6%,69.4%,0.44175423595329
IOVA,"Iovance Biotherapeutics Inc",8.29,-0.7,-7.79%,6.24%,15%,61944,11.2%,88.8%,0.12633646083352
UNH,"Unitedhealth Group",390.11,5.26,+1.37%,9.60%,12%,61187,34.9%,65.1%,0.5368212186668
KO,"Coca-Cola Company",91.1,0.6,+0.66%,46.39%,32%,60069,28.9%,71.1%,0.40587918646289
USAR,"USA Rare Earth Inc",19.26,2.15,+12.57%,3.80%,3%,59746,17.6%,82.4%,0.21301823202176
ARM,"Arm Holdings Plc ADR",243.32,-7.4,-2.95%,36.73%,58%,59471,34.6%,65.4%,0.52976129231402
CSCO,"Cisco Systems Inc",111.04,1.45,+1.32%,31.31%,41%,59378,37.6%,62.4%,0.60221262817053
JBLU,"Jetblue Airways Corp",4.89,0.15,+3.16%,14.29%,8%,59132,51.1%,48.9%,1.0453114731417
QBTS,"D-Wave Quantum Inc",20.39,1.59,+8.46%,7.11%,6%,58973,19.3%,80.7%,0.23926702670898
